dataset,convnext_base,convnext_large,convnext_tiny,densenet121,densenet161,dinov3_convnext_large,dinov3_convnext_large_backbone_freezed,dinov3_convnext_tiny,dinov3_convnext_tiny_backbone_freezed,efficientnet_b0,efficientnet_b7,resnet152,resnet18,vit_b_32,vit_l_16
HAM10000,0.926900,0.932200,0.928700,0.928700,0.924300,0.933100,0.866200,0.940100,0.876800,0.918100,0.922500,0.927800,0.915500,0.918100,0.931300
HC,0.823500,0.823500,0.818200,0.788800,0.823500,0.828900,0.692500,0.802100,0.703200,0.751300,0.796800,0.799500,0.770100,0.804800,0.820900
ISIC18,0.915700,0.925900,0.919400,0.921300,0.921300,0.918500,0.867600,0.925900,0.846300,0.903700,0.910200,0.916700,0.913900,0.922200,0.916700
ISIC24,0.813300,0.793300,0.806700,0.840000,0.820000,0.800000,0.460000,0.813300,0.653300,0.786700,0.826700,0.853300,0.766700,0.800000,0.820000
PAD,0.915400,0.920400,0.930300,0.900500,0.900500,0.920400,0.810900,0.915400,0.761200,0.865700,0.885600,0.870600,0.915400,0.920400,0.915400
ddi,0.740700,0.814800,0.777800,0.777800,0.703700,0.629600,0.555600,0.888900,0.222200,0.481500,0.814800,0.777800,0.814800,0.777800,0.851900
merged,0.874700,0.873600,0.870000,0.875700,0.865300,0.885600,0.809900,0.873600,0.784900,0.875700,0.854800,0.871000,0.846000,0.870000,0.877300
merged_clinic,0.854000,0.846700,0.851100,0.816100,0.819000,0.862800,0.727000,0.833600,0.735800,0.791200,0.821900,0.821900,0.795600,0.838000,0.829200
merged_dermatoscopic,0.897600,0.904100,0.895900,0.899200,0.906500,0.899200,0.853700,0.911400,0.838200,0.896700,0.897600,0.910600,0.888600,0.903300,0.902400
sd-198,0.819300,0.783100,0.771100,0.698800,0.783100,0.831300,0.590400,0.807200,0.506000,0.795200,0.771100,0.771100,0.783100,0.831300,0.795200
