dataset,convnext_base,convnext_large,convnext_tiny,densenet121,densenet161,dinov3_convnext_large,dinov3_convnext_large_backbone_freezed,dinov3_convnext_tiny,dinov3_convnext_tiny_backbone_freezed,efficientnet_b0,efficientnet_b7,resnet152,resnet18,vit_b_32,vit_l_16
HAM10000,0.852500,0.865900,0.848300,0.856100,0.846000,0.873400,0.735900,0.878900,0.678600,0.831300,0.848500,0.851600,0.820700,0.841800,0.855100
HC,0.820100,0.819800,0.815400,0.780400,0.817900,0.827500,0.672200,0.801300,0.688600,0.733400,0.788500,0.790100,0.758400,0.803900,0.819600
ISIC18,0.820300,0.850900,0.827200,0.839500,0.835000,0.841000,0.739700,0.847700,0.576500,0.804100,0.818800,0.816500,0.819500,0.842700,0.834900
ISIC24,0.804400,0.776600,0.799200,0.832400,0.809600,0.793800,0.451200,0.806600,0.610000,0.784200,0.822900,0.844400,0.758900,0.790500,0.809600
PAD,0.890400,0.897500,0.910300,0.874800,0.874800,0.898700,0.723600,0.889000,0.554000,0.819100,0.856900,0.842500,0.890400,0.890500,0.890400
ddi,0.645400,0.769200,0.710700,0.710700,0.666700,0.602900,0.539800,0.848000,0.217900,0.444100,0.797000,0.733600,0.714600,0.710700,0.785700
merged,0.848400,0.849000,0.839900,0.845500,0.830300,0.861900,0.764200,0.847000,0.730700,0.848100,0.822500,0.840300,0.808800,0.846600,0.854900
merged_clinic,0.853900,0.846700,0.850900,0.815900,0.819000,0.862400,0.727000,0.833300,0.735700,0.791200,0.821800,0.821900,0.795600,0.837600,0.828800
merged_dermatoscopic,0.816300,0.837300,0.818300,0.813400,0.834000,0.800100,0.740600,0.835600,0.650900,0.810000,0.811200,0.837800,0.793400,0.816000,0.829700
sd-198,0.818900,0.781600,0.771100,0.690000,0.781600,0.831100,0.572400,0.807200,0.495500,0.795200,0.762200,0.771000,0.782800,0.831100,0.795100
