dataset,convnext_base,convnext_large,convnext_tiny,densenet121,densenet161,dinov3_convnext_large,dinov3_convnext_large_backbone_freezed,dinov3_convnext_tiny,dinov3_convnext_tiny_backbone_freezed,efficientnet_b0,efficientnet_b7,resnet152,resnet18,vit_b_32,vit_l_16
HAM10000,0.934000,0.928700,0.933100,0.922500,0.922500,0.941900,0.837100,0.935700,0.875900,0.922500,0.927800,0.938400,0.914600,0.933100,0.932200
HC,0.810200,0.831600,0.778100,0.804800,0.820900,0.799500,0.703200,0.818200,0.660400,0.756700,0.783400,0.783400,0.780700,0.823500,0.810200
ISIC18,0.922200,0.900900,0.913000,0.913900,0.913900,0.909300,0.871300,0.921300,0.857400,0.903700,0.918500,0.907400,0.917600,0.925000,0.907400
ISIC24,0.833300,0.820000,0.793300,0.800000,0.806700,0.840000,0.593300,0.800000,0.606700,0.793300,0.806700,0.773300,0.800000,0.820000,0.773300
PAD,0.890500,0.935300,0.915400,0.895500,0.920400,0.905500,0.796000,0.920400,0.810900,0.880600,0.890500,0.920400,0.885600,0.915400,0.905500
ddi,0.777800,0.777800,0.777800,0.814800,0.814800,0.777800,0.740700,0.666700,0.555600,0.481500,0.925900,0.777800,0.814800,0.851900,0.777800
merged,0.882500,0.878900,0.881500,0.862100,0.873600,0.886200,0.801600,0.880400,0.776500,0.874200,0.857400,0.876800,0.867400,0.888800,0.870000
merged_clinic,0.835000,0.855500,0.836500,0.808800,0.819000,0.852600,0.731400,0.851100,0.706600,0.795600,0.795600,0.797100,0.778100,0.823400,0.846700
merged_dermatoscopic,0.904100,0.898400,0.890200,0.902400,0.897600,0.907300,0.842300,0.894300,0.839000,0.891900,0.899200,0.900000,0.894300,0.903300,0.910600
sd-198,0.795200,0.783100,0.807200,0.686700,0.734900,0.855400,0.542200,0.771100,0.638600,0.674700,0.686700,0.734900,0.747000,0.819300,0.759000
