dataset,convnext_base,convnext_large,convnext_tiny,densenet121,densenet161,dinov3_convnext_large,dinov3_convnext_large_backbone_freezed,dinov3_convnext_tiny,dinov3_convnext_tiny_backbone_freezed,efficientnet_b0,efficientnet_b7,resnet152,resnet18,vit_b_32,vit_l_16
HAM10000,0.866700,0.850700,0.853200,0.844800,0.837400,0.881800,0.686900,0.866200,0.677500,0.832900,0.856800,0.874700,0.824100,0.853200,0.860300
HC,0.806300,0.828100,0.771600,0.796200,0.813800,0.792800,0.692100,0.814600,0.645400,0.743400,0.773800,0.776200,0.775300,0.821100,0.803900
ISIC18,0.835600,0.817200,0.820100,0.806200,0.813200,0.800100,0.749500,0.832200,0.669900,0.805200,0.836000,0.788400,0.833700,0.842800,0.799700
ISIC24,0.824900,0.810800,0.776600,0.792800,0.791100,0.830200,0.567000,0.783000,0.605200,0.789200,0.800200,0.765200,0.790500,0.810800,0.762500
PAD,0.860700,0.916200,0.891700,0.867800,0.896200,0.879000,0.742000,0.894900,0.663700,0.844300,0.862300,0.896200,0.849900,0.890400,0.876000
ddi,0.678600,0.631800,0.631800,0.746700,0.769200,0.631800,0.533300,0.400000,0.467100,0.444100,0.911200,0.710700,0.746700,0.807100,0.631800
merged,0.860000,0.854800,0.857700,0.826600,0.842200,0.860200,0.752200,0.858500,0.715100,0.846200,0.824100,0.847000,0.833400,0.866400,0.842100
merged_clinic,0.835000,0.855500,0.836500,0.808600,0.819000,0.852500,0.731400,0.850700,0.705700,0.795300,0.795500,0.796700,0.778100,0.823300,0.845900
merged_dermatoscopic,0.821700,0.825500,0.810100,0.825700,0.818400,0.835700,0.718300,0.798600,0.703200,0.806500,0.817100,0.815300,0.811200,0.826900,0.838400
sd-198,0.795100,0.783100,0.807000,0.681100,0.734900,0.855200,0.496500,0.771000,0.637200,0.673900,0.681100,0.734900,0.746400,0.818900,0.758200
