dataset,google/medsiglip-448,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,openai/clip-vit-base-patch32,openai/clip-vit-large-patch14
HAM10000,0.464500,0.347900,0.517000,0.151900
HC,0.568600,0.336200,0.588200,0.319100
ISIC18,0.481500,0.337500,0.518500,0.174000
ISIC24,0.475500,0.304100,0.538900,0.611600
PAD,0.638700,0.395100,0.563100,0.486600
ddi,0.631800,0.228600,0.616500,0.356200
merged,0.611400,0.370700,0.568300,0.304500
merged_clinic,0.611000,0.377400,0.607300,0.393900
merged_dermatoscopic,0.490700,0.337200,0.523300,0.230800
sd-198,0.481300,0.539800,0.618600,0.448100
