dataset,Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,gemma3:27b,google/medgemma-1.5-4b-it,google/medgemma-4b-it,llama3.2-vision:11b,llama3.2-vision:90b,llama4:16x17b,microsoft/Phi-3.5-vision-instruct,qwen2.5vl:72b
HAM10000,0.851200,0.415500,0.215700,0.779000,0.240300,,0.397900,0.162900,,0.437500
HC,0.566800,0.633700,0.532100,0.451900,0.462600,0.446500,0.537400,0.612300,,0.574900
ISIC18,0.825000,0.458300,0.210200,0.813000,0.300000,0.158300,0.375900,0.178700,,0.438900
ISIC24,0.606700,0.713300,0.706700,0.613300,0.713300,0.393300,0.666700,0.486700,,0.680000
PAD,0.328400,0.686600,0.756200,0.358200,0.781100,0.751200,0.567200,0.771100,,0.651700
ddi,0.740700,0.740700,0.481500,0.666700,0.555600,0.296300,0.444400,0.370400,0.592600,0.518500
merged,0.691400,,0.389000,,,0.311700,0.510700,0.374900,,0.524300
merged_clinic,0.499300,0.658400,0.601500,,0.576600,0.535800,0.595600,0.654000,,0.624800
merged_dermatoscopic,0.798400,0.437500,0.270700,,0.350400,0.187000,0.456900,0.218700,,0.468300
sd-198,0.530100,0.662700,0.578300,0.481900,0.602400,0.494000,0.807200,0.650600,,0.819300
