dataset,Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,gemma3:27b,google/medgemma-1.5-4b-it,google/medgemma-4b-it,llama3.2-vision:11b,llama3.2-vision:90b,llama4:16x17b,microsoft/Phi-3.5-vision-instruct,qwen2.5vl:72b
HAM10000,0.502800,0.400800,0.210100,0.390900,0.237300,,0.391100,0.146100,,0.421100
HC,0.388400,0.594000,0.531300,0.273700,0.425500,0.308700,0.496200,0.612300,,0.517500
ISIC18,0.511900,0.440800,0.204000,0.439600,0.299800,0.136700,0.372500,0.163200,,0.424300
ISIC24,0.377600,0.630600,0.704800,0.395800,0.687700,0.282300,0.598000,0.449400,,0.608800
PAD,0.308600,0.667600,0.550400,0.256500,0.569000,0.429000,0.521700,0.647600,,0.621300
ddi,0.533300,0.699500,0.480800,0.336500,0.554900,0.228600,0.441400,0.356200,0.590300,0.507700
merged,0.462300,,0.381500,,,0.237700,0.336000,0.355600,,0.511800
merged_clinic,0.386200,0.654500,0.587000,,0.500800,0.348900,0.595500,0.637500,,0.620900
merged_dermatoscopic,0.490700,0.415700,0.267400,,0.350100,0.157500,0.294500,0.201000,,0.448000
sd-198,0.388000,0.662600,0.574400,0.272800,0.542700,0.330600,0.807200,0.612600,,0.818300
