dataset,Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,gemma3:27b,google/medgemma-1.5-4b-it,google/medgemma-4b-it,google/medsiglip-448,llama3.2-vision:11b,llama3.2-vision:90b,llama4:16x17b,microsoft/Phi-3.5-vision-instruct,qwen2.5vl:72b
HAM10000,0.847700,0.619700,0.339800,0.596800,0.196300,0.847700,0.712100,0.629400,0.289600,0.203300,0.644400
HC,0.553500,0.574900,0.556100,0.572200,0.470600,,0.537400,0.572200,0.574900,0.639000,0.588200
ISIC18,0.841700,0.647200,0.379600,0.733300,0.228700,,0.647200,0.698100,0.309300,0.205600,0.645400
ISIC24,0.606700,0.606700,0.700000,0.660000,0.700000,,0.540000,0.633300,0.613300,0.693300,0.673300
PAD,0.248800,0.338300,0.607000,0.572100,0.796000,,0.726400,0.373100,0.557200,0.806000,0.507500
ddi,0.703700,0.703700,0.666700,0.407400,0.407400,,0.444400,0.481500,0.518500,0.703700,0.703700
merged,0.688300,0.597400,0.479900,,0.391600,,0.659500,0.647000,0.438600,0.413100,0.629200
merged_clinic,0.464200,0.506600,0.589800,,0.581000,,0.620400,0.540100,0.601500,0.678800,0.594200
merged_dermatoscopic,0.813000,0.648000,0.418700,,0.286200,,0.736600,0.700800,0.348000,0.265000,0.648800
sd-198,0.506000,0.542200,0.674700,0.650600,0.614500,,0.626500,0.747000,0.843400,0.542200,0.795200
