dataset,Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,gemma3:27b,google/medgemma-1.5-4b-it,google/medgemma-4b-it,google/medsiglip-448,llama3.2-vision:11b,llama3.2-vision:90b,llama4:16x17b,microsoft/Phi-3.5-vision-instruct,qwen2.5vl:72b
HAM10000,0.458800,0.512900,0.335200,0.355400,0.186800,0.464500,0.553600,0.562200,0.289600,0.196500,0.550100
HC,0.356300,0.420600,0.493000,0.335400,0.395300,,0.535700,0.435600,0.345400,0.636500,0.487200
ISIC18,0.457000,0.561700,0.371600,0.652900,0.222900,,0.552400,0.419700,0.309300,0.197800,0.568000
ISIC24,0.377600,0.377600,0.645100,0.538400,0.699900,,0.474400,0.447500,0.396700,0.672300,0.564400
PAD,0.199200,0.323200,0.568500,0.367300,0.592800,,0.683500,0.366200,0.348300,0.742100,0.503500
ddi,0.413000,0.509100,0.544100,0.364700,0.386400,,0.444400,0.463100,0.493500,0.693200,0.666700
merged,0.407700,0.496300,0.468300,,0.363900,,0.600300,0.384300,0.291900,0.408700,0.573700
merged_clinic,0.317000,0.408400,0.580500,,0.473100,,0.598200,0.485100,0.398800,0.672300,0.571000
merged_dermatoscopic,0.448400,0.549500,0.405800,,0.282300,,0.579400,0.412900,0.232200,0.262800,0.568000
sd-198,0.336000,0.412400,0.662100,0.447000,0.552000,,0.615600,0.731400,0.842600,0.456200,0.795100
